# T[s],valid,enu_e[m],enu_n[m],enu_u[m]
31.802,1,74,-45,1783
31.900,1,76,-50,1781
32.301,1,78,-45,1836
32.401,1,79,-49,1834
32.502,1,79,-48,1860
32.602,1,80,-48,1887
32.701,1,83,-46,1889
32.802,1,82,-47,1917
32.902,1,83,-44,1916
33.002,1,83,-52,1942
33.101,1,86,-46,1942
33.301,1,85,-49,1971
33.403,1,86,-50,1967
33.501,1,87,-47,2000
33.602,1,90,-49,2027
33.701,1,88,-52,2023
33.802,1,91,-49,2054
33.902,1,89,-51,2051
34.101,1,91,-56,2080
34.301,1,94,-51,2114
34.401,1,95,-55,2110
34.500,1,96,-53,2142
34.603,1,97,-53,2173
38.101,1,126,-63,2717
38.302,1,126,-58,2750
38.402,1,127,-63,2750
38.502,1,128,-62,2784
38.802,1,132,-65,2852
38.902,1,133,-61,2854
39.101,1,134,-62,2889
40.902,1,149,-65,3224
41.002,1,155,-68,3261
41.102,1,152,-68,3261
41.305,1,157,-68,3301
41.702,1,160,-69,3380
