# T[s],v10_state,v16_state,v35_state,v6_state,v7_state
22.003,1,2,1,1,2
22.104,1,2,1,1,2
22.204,1,2,1,1,2
22.303,1,2,1,1,2
22.402,1,2,1,1,2
22.503,1,2,1,1,2
22.603,1,2,1,1,2
22.703,1,2,1,1,2
22.804,1,2,1,1,2
22.902,1,2,1,1,2
23.004,1,2,1,1,2
23.103,1,2,1,1,2
23.202,1,2,1,1,2
23.303,1,2,1,1,2
23.403,1,2,1,1,2
23.504,1,2,1,1,2
23.604,1,2,1,1,2
23.703,1,2,1,1,2
23.904,1,2,1,1,2
24.002,1,2,1,1,2
24.103,1,2,1,1,2
24.207,1,2,1,1,2
24.304,1,2,1,1,2
24.405,1,2,1,1,2
24.503,1,2,1,1,2
24.604,1,2,1,1,2
24.703,1,2,1,1,2
24.804,1,2,1,1,2
24.904,1,2,1,1,2
25.005,1,2,1,1,2
25.103,1,2,1,1,2
25.203,1,2,1,1,2
25.305,1,2,1,1,2
25.404,1,2,1,1,2
25.503,1,2,1,1,2
25.603,1,2,1,1,2
25.703,1,2,1,1,2
25.803,1,2,1,1,2
26.004,1,2,1,1,2
26.104,1,2,1,1,2
26.202,1,2,1,1,2
26.307,1,2,1,1,2
26.405,1,2,1,1,2
26.503,1,2,1,1,2
26.604,1,2,1,1,2
26.703,1,2,1,1,2
26.803,1,2,1,1,2
26.903,1,2,1,1,2
27.004,1,2,1,1,2
27.104,1,2,1,1,2
27.202,1,2,1,1,2
27.302,1,2,1,1,2
27.403,1,2,1,1,2
27.503,1,2,1,1,2
27.604,1,2,1,1,2
27.703,1,2,1,1,2
27.804,1,2,1,1,2
27.902,1,2,1,1,2
28.004,1,2,1,1,2
28.103,1,2,1,1,2
28.203,1,2,1,1,2
28.309,1,2,1,1,2
28.404,1,2,1,1,2
28.503,1,2,1,1,2
28.604,1,2,1,1,2
28.703,1,2,1,1,2
28.807,1,2,1,1,2
28.905,1,2,1,1,2
29.003,1,2,1,1,2
29.104,1,2,1,1,2
29.203,1,2,1,1,2
29.303,1,2,1,1,2
29.403,1,2,1,1,2
29.503,1,2,1,1,2
29.608,1,2,1,1,2
29.703,1,2,1,1,2
29.802,1,2,1,1,2
29.903,1,2,1,1,2
30.003,1,2,1,1,2
30.103,1,2,1,1,2
30.202,1,2,1,1,2
30.303,1,2,1,1,2
30.404,1,2,1,1,2
30.504,1,2,1,1,2
30.607,1,2,1,1,2
30.703,1,2,1,1,2
30.803,1,2,1,1,2
30.904,1,2,1,1,2
31.003,1,2,1,1,2
31.202,1,2,1,1,2
31.309,1,2,1,1,2
31.404,1,2,1,1,2
31.503,1,2,1,1,2
31.604,1,2,1,1,2
31.704,1,2,1,1,2
31.805,1,2,1,1,2
31.903,1,2,1,1,2
32.202,1,2,1,1,2
32.304,1,2,1,1,2
32.403,1,2,1,1,2
32.503,1,2,1,1,2
32.603,1,2,1,1,2
32.704,1,2,1,1,2
32.804,1,2,1,1,2
32.904,1,2,1,1,2
33.004,1,2,1,1,2
33.103,1,2,1,1,2
33.202,1,2,1,1,2
33.304,1,2,1,1,2
33.405,1,2,1,1,2
33.504,1,2,1,1,2
33.604,1,2,1,1,2
33.703,1,2,1,1,2
33.804,1,2,1,1,2
33.904,1,2,1,1,2
34.202,1,2,1,1,2
34.305,1,2,1,1,2
34.403,1,2,1,1,2
34.504,1,2,1,1,2
34.606,1,2,1,1,2
38.203,1,2,1,1,2
38.304,1,2,1,1,2
38.402,1,2,1,1,2
38.504,1,2,1,1,2
38.706,1,2,1,1,2
38.803,1,2,1,1,2
38.904,1,2,1,1,2
39.004,1,2,1,1,2
39.104,1,2,1,1,2
40.904,1,2,1,1,2
41.004,1,2,1,1,2
41.103,1,2,1,1,2
41.206,1,2,1,1,2
41.308,1,2,1,1,2
41.404,1,2,1,1,2
44.803,1,2,1,1,2
