# T[s],vavle_state,power_a[A],power_v[V]
29.403,2,-0.06,16.62
29.503,2,-0.08,16.62
29.703,2,-0.08,16.63
29.902,2,-0.06,16.61
30.103,2,-0.06,16.62
30.202,2,-0.08,16.63
30.303,2,-0.08,16.63
30.502,2,-0.08,16.60
30.703,2,-0.08,16.61
30.904,2,-0.06,16.62
31.102,2,-0.06,16.61
31.203,2,-0.06,16.62
31.309,2,-0.08,16.62
31.503,2,-0.02,16.61
31.703,2,-0.08,16.61
31.903,2,-0.06,16.60
32.202,2,-0.06,16.61
32.304,2,-0.02,16.61
32.502,2,0.00,16.62
32.704,2,-0.04,16.61
32.904,2,-0.02,16.60
33.202,2,-0.02,16.61
33.303,2,-0.06,16.60
33.403,2,-0.02,16.61
33.504,2,-0.04,16.61
33.703,2,-0.06,16.61
33.904,2,-0.06,16.62
34.102,2,-0.06,16.62
34.203,2,-0.10,16.64
34.303,2,-0.06,16.62
34.503,2,-0.06,16.61
38.203,2,-0.02,16.61
38.304,2,0.02,16.59
38.504,2,-0.02,16.59
38.706,2,-0.06,16.62
38.903,2,0.00,16.60
39.104,2,-0.02,16.60
41.103,2,-0.08,16.62
41.207,2,-0.10,16.62
41.308,2,-0.08,16.63
41.703,2,-0.04,16.61
