T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
20.598,1,1501399882,-3783813,2804305,4287663,-44,28,45,11,1.1
20.805,1,1501399882,-3783823,2804311,4287674,-44,28,46,11,1.1
20.998,1,1501399882,-3783832,2804317,4287684,-45,29,47,11,1.1
21.208,1,1501399882,-3783841,2804322,4287695,-45,29,47,11,1.1
21.406,1,1501399883,-3783849,2804328,4287706,-46,29,48,11,1.1
21.598,1,1501399883,-3783857,2804333,4287710,-47,30,48,11,1.1
21.804,1,1501399883,-3783866,2804340,4287720,-47,30,49,11,1.1
21.999,1,1501399883,-3783876,2804346,4287727,-48,30,50,11,1.1
22.208,1,1501399883,-3783886,2804352,4287737,-49,31,50,11,1.1
22.399,1,1501399884,-3783897,2804359,4287748,-49,31,51,11,1.1
22.600,1,1501399884,-3783907,2804365,4287760,-50,32,52,11,1.1
22.800,1,1501399884,-3783918,2804372,4287771,-51,32,52,11,1.1
23.000,1,1501399884,-3783928,2804377,4287781,-51,32,53,11,1.1
23.209,1,1501399884,-3783936,2804385,4287792,-52,33,54,11,1.1
23.400,1,1501399885,-3783946,2804392,4287803,-53,33,54,11,1.1
23.599,1,1501399885,-3783958,2804399,4287815,-53,33,55,11,1.1
24.000,1,1501399885,-3783981,2804415,4287841,-54,34,56,11,1.1
24.214,1,1501399885,-3783991,2804422,4287847,-55,35,57,11,1.1
24.401,1,1501399886,-3784003,2804427,4287858,-56,35,58,11,1.1
24.600,1,1501399886,-3784015,2804435,4287871,-56,35,59,11,1.1
24.801,1,1501399886,-3784027,2804444,4287883,-57,36,59,11,1.1
25.001,1,1501399886,-3784039,2804450,4287894,-58,36,60,11,1.1
25.209,1,1501399886,-3784051,2804457,4287909,-58,37,61,10,1.3
25.400,1,1501399887,-3784062,2804465,4287923,-59,37,61,10,1.3
25.600,1,1501399887,-3784074,2804471,4287938,-60,38,62,10,1.3
25.799,1,1501399887,-3784086,2804479,4287949,-60,38,63,10,1.3
25.998,1,1501399887,-3784099,2804487,4287961,-61,39,63,10,1.3
26.207,1,1501399887,-3784113,2804496,4287975,-62,39,64,11,1.1
26.405,1,1501399888,-3784125,2804505,4287987,-62,40,65,11,1.1
26.599,1,1501399888,-3784137,2804512,4287998,-63,40,66,11,1.1
26.799,1,1501399888,-3784150,2804521,4288012,-64,40,66,11,1.1
27.000,1,1501399888,-3784164,2804529,4288026,-64,41,67,11,1.1
27.208,1,1501399888,-3784179,2804537,4288039,-65,41,68,11,1.1
27.402,1,1501399889,-3784193,2804546,4288055,-66,42,68,11,1.1
27.600,1,1501399889,-3784206,2804554,4288069,-66,42,69,11,1.1
27.800,1,1501399889,-3784219,2804562,4288084,-67,43,70,11,1.1
27.999,1,1501399889,-3784232,2804570,4288097,-68,43,71,11,1.1
28.208,1,1501399889,-3784245,2804580,4288111,-69,44,71,11,1.1
28.401,1,1501399890,-3784257,2804588,4288124,-69,44,72,11,1.1
28.600,1,1501399890,-3784272,2804596,4288140,-70,45,73,11,1.1
28.805,1,1501399890,-3784286,2804605,4288154,-71,45,74,11,1.1
28.999,1,1501399890,-3784301,2804614,4288170,-72,45,75,11,1.1
29.210,1,1501399890,-3784316,2804625,4288189,-72,46,75,11,1.1
29.403,1,1501399891,-3784330,2804633,4288202,-73,46,76,11,1.1
29.606,1,1501399891,-3784345,2804644,4288216,-74,47,77,11,1.1
29.801,1,1501399891,-3784360,2804654,4288231,-75,47,77,11,1.1
30.000,1,1501399891,-3784374,2804663,4288244,-75,48,78,11,1.1
30.207,1,1501399891,-3784389,2804673,4288261,-76,48,79,11,1.1
30.399,1,1501399892,-3784404,2804683,4288276,-77,49,80,11,1.1
30.602,1,1501399892,-3784421,2804693,4288293,-78,49,80,11,1.1
30.798,1,1501399892,-3784437,2804704,4288312,-78,50,81,11,1.1
30.999,1,1501399892,-3784452,2804714,4288329,-79,50,82,11,1.1
31.208,1,1501399892,-3784468,2804724,4288341,-80,51,83,11,1.1
31.400,1,1501399893,-3784485,2804735,4288357,-81,51,83,11,1.1
31.598,1,1501399893,-3784503,2804746,4288379,-82,52,84,11,1.1
31.799,1,1501399893,-3784518,2804756,4288393,-82,52,85,11,1.1
32.208,1,1501399893,-3784552,2804777,4288429,-84,53,86,11,1.1
32.401,1,1501399894,-3784568,2804787,4288443,-85,54,88,11,1.1
32.600,1,1501399894,-3784585,2804798,4288461,-86,54,88,11,1.1
32.800,1,1501399894,-3784603,2804810,4288482,-86,55,89,11,1.1
33.209,1,1501399894,-3784638,2804832,4288517,-88,56,89,11,1.1
33.401,1,1501399895,-3784655,2804842,4288538,-89,56,92,11,1.1
33.599,1,1501399895,-3784674,2804852,4288555,-89,57,93,11,1.1
33.799,1,1501399895,-3784691,2804863,4288573,-90,57,94,11,1.1
34.400,1,1501399896,-3784748,2804900,4288630,-92,59,96,11,1.1
34.602,1,1501399896,-3784767,2804912,4288651,-93,59,97,11,1.1
38.401,1,1501399900,-3785152,2805159,4289057,-109,69,115,11,1.1
38.800,1,1501399900,-3785196,2805187,4289101,-111,70,117,11,1.1
39.000,1,1501399900,-3785218,2805201,4289128,-112,71,118,11,1.1
40.999,1,1501399902,-3785454,2805349,4289375,-120,77,127,11,1.1
41.215,1,1501399902,-3785479,2805365,4289402,-121,77,129,11,1.1
