T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
12.605,1,1501399874,-3783552,2804134,4287383,0,0,0,13,1.0
12.804,1,1501399874,-3783557,2804137,4287389,0,0,0,13,1.0
13.004,1,1501399874,-3783562,2804139,4287395,0,0,0,13,1.0
13.218,1,1501399874,-3783567,2804144,4287398,0,0,0,13,1.0
13.406,1,1501399875,-3783570,2804146,4287402,0,0,0,13,1.0
13.605,1,1501399875,-3783576,2804151,4287407,0,0,0,13,1.0
13.805,1,1501399875,-3783582,2804154,4287414,0,0,0,13,1.0
14.004,1,1501399875,-3783588,2804162,4287417,-26,20,25,13,1.0
14.218,1,1501399875,-3783593,2804167,4287423,0,0,0,13,1.0
14.406,1,1501399876,-3783597,2804168,4287430,0,0,0,13,1.0
14.604,1,1501399876,-3783603,2804169,4287437,0,0,0,13,1.0
14.806,1,1501399876,-3783608,2804172,4287445,0,0,0,13,1.0
15.003,1,1501399876,-3783613,2804175,4287454,0,0,0,13,1.0
15.219,1,1501399876,-3783617,2804178,4287457,0,0,0,13,1.0
15.405,1,1501399877,-3783622,2804182,4287459,0,0,0,13,1.0
15.605,1,1501399877,-3783627,2804186,4287462,0,0,0,13,1.0
15.805,1,1501399877,-3783632,2804188,4287470,0,0,0,13,1.0
16.004,1,1501399877,-3783638,2804192,4287478,0,0,0,13,1.0
16.227,1,1501399877,-3783645,2804196,4287485,0,0,0,13,1.0
16.405,1,1501399878,-3783650,2804199,4287496,0,0,0,13,1.0
16.604,1,1501399878,-3783656,2804204,4287498,0,0,0,13,1.0
16.804,1,1501399878,-3783663,2804209,4287503,0,0,0,13,1.0
17.005,1,1501399878,-3783670,2804213,4287514,0,0,0,13,1.0
17.218,1,1501399878,-3783678,2804219,4287520,0,0,0,13,1.0
17.404,1,1501399879,-3783685,2804224,4287526,0,0,0,13,1.0
17.604,1,1501399879,-3783692,2804229,4287531,0,0,0,13,1.0
17.804,1,1501399879,-3783698,2804233,4287541,0,0,0,13,1.0
18.005,1,1501399879,-3783705,2804238,4287548,-36,23,37,13,1.0
18.219,1,1501399879,-3783713,2804244,4287555,-37,24,38,13,1.0
18.405,1,1501399880,-3783721,2804247,4287561,-37,24,38,13,1.0
18.601,1,1501399880,-3783730,2804253,4287571,-38,24,39,13,1.0
18.801,1,1501399880,-3783738,2804259,4287576,-38,25,40,13,1.0
19.000,1,1501399880,-3783748,2804263,4287593,-39,25,40,13,1.0
19.216,1,1501399880,-3783755,2804267,4287604,-39,25,41,13,1.0
19.403,1,1501399881,-3783763,2804273,4287611,-40,26,42,13,1.0
19.601,1,1501399881,-3783771,2804278,4287620,-41,26,42,13,1.0
19.801,1,1501399881,-3783779,2804283,4287626,-41,26,43,13,1.0
20.001,1,1501399881,-3783790,2804289,4287638,-42,27,43,13,1.0
20.216,1,1501399881,-3783796,2804295,4287643,-43,27,44,13,1.0
20.401,1,1501399882,-3783803,2804301,4287655,-43,27,45,13,1.0
20.601,1,1501399882,-3783813,2804306,4287663,-44,28,45,13,1.0
20.805,1,1501399882,-3783822,2804312,4287668,-44,28,46,13,1.0
21.001,1,1501399882,-3783832,2804317,4287675,-45,29,47,13,1.0
21.216,1,1501399882,-3783841,2804324,4287687,-46,29,47,13,1.0
21.406,1,1501399883,-3783850,2804329,4287696,-46,29,48,13,1.0
21.601,1,1501399883,-3783861,2804336,4287706,-47,30,48,13,1.0
21.804,1,1501399883,-3783872,2804344,4287713,-47,30,49,13,1.0
22.000,1,1501399883,-3783881,2804349,4287723,-48,30,50,13,1.0
22.217,1,1501399883,-3783890,2804354,4287735,-49,31,50,13,1.0
22.405,1,1501399884,-3783901,2804361,4287746,-49,31,51,13,1.0
22.601,1,1501399884,-3783913,2804367,4287762,-50,32,52,13,1.0
22.800,1,1501399884,-3783923,2804374,4287772,-51,32,52,13,1.0
23.002,1,1501399884,-3783932,2804380,4287781,-51,32,53,13,1.0
23.216,1,1501399884,-3783943,2804387,4287793,-52,33,54,13,1.0
23.402,1,1501399885,-3783952,2804394,4287801,-53,33,54,13,1.0
23.601,1,1501399885,-3783962,2804401,4287811,-53,33,55,13,1.0
24.002,1,1501399885,-3783983,2804414,4287832,-54,34,56,13,1.0
24.223,1,1501399885,-3783992,2804420,4287843,-55,35,57,13,1.0
24.405,1,1501399886,-3784003,2804426,4287855,-56,35,58,13,1.0
24.601,1,1501399886,-3784015,2804433,4287867,-56,35,59,13,1.0
24.801,1,1501399886,-3784026,2804440,4287879,-57,36,59,13,1.0
