# T[s],q2
-30.316,0.00221622
-30.306,0.00221380
-30.295,0.00221799
-30.285,0.00221338
-30.275,0.00220926
-30.264,0.00220441
-30.256,0.00220392
-30.244,0.00220405
-30.234,0.00221194
-30.226,0.00221499
-30.216,0.00221580
-30.206,0.00221876
-30.195,0.00221959
-30.185,0.00221280
-30.175,0.00220582
-30.165,0.00220727
-30.156,0.00221086
-30.146,0.00220748
-30.136,0.00220950
-30.125,0.00221430
-30.116,0.00221363
-30.105,0.00220852
-30.095,0.00221135
-30.086,0.00221571
-30.075,0.00221168
-30.066,0.00221775
-30.056,0.00221789
-30.045,0.00221524
-30.035,0.00220977
-30.026,0.00221293
-30.015,0.00221803
-30.006,0.00222117
-29.995,0.00221873
-29.986,0.00221572
-29.976,0.00221565
-29.966,0.00221808
-29.955,0.00221290
-29.945,0.00220685
-29.935,0.00220847
-29.925,0.00220638
-29.916,0.00220562
-29.903,0.00220679
-29.891,0.00221142
-29.881,0.00221041
-29.876,0.00221295
-29.865,0.00221472
-29.856,0.00221075
-29.846,0.00221055
-29.835,0.00221093
-29.824,0.00221020
-29.815,0.00220758
-29.806,0.00220721
-29.796,0.00221078
-29.786,0.00221358
-29.774,0.00221772
-29.765,0.00221935
-29.755,0.00221857
-29.745,0.00222083
-29.734,0.00222042
-29.722,0.00222072
-29.712,0.00222226
-29.706,0.00223346
-29.695,0.00223307
-29.685,0.00223163
-29.675,0.00222955
-29.665,0.00223400
-29.656,0.00224318
-29.646,0.00224088
-29.634,0.00223812
-29.625,0.00223276
-29.616,0.00223708
-29.605,0.00223849
-29.595,0.00223210
-29.585,0.00223009
-29.576,0.00222806
-29.564,0.00222736
-29.556,0.00223820
-29.546,0.00223721
-29.535,0.00224072
-29.523,0.00223381
-29.510,0.00222994
-29.501,0.00223100
-29.494,0.00222999
-29.485,0.00223698
-29.475,0.00224095
-29.466,0.00223719
-29.455,0.00224177
-29.446,0.00224177
-29.436,0.00224690
-29.425,0.00224240
-29.415,0.00224356
-29.405,0.00224147
-29.395,0.00224000
-29.386,0.00224213
-29.376,0.00224156
-29.366,0.00223287
-29.355,0.00223255
-29.346,0.00223499
-29.336,0.00223497
-29.325,0.00223418
-29.314,0.00223749
-29.306,0.00223268
-29.294,0.00223330
-29.286,0.00223735
-29.276,0.00224003
-29.265,0.00223253
-29.255,0.00223573
-29.245,0.00223314
-29.235,0.00223517
-29.226,0.00223187
-29.215,0.00223387
-29.204,0.00223513
-29.195,0.00223292
-29.186,0.00223260
-29.175,0.00223106
-29.166,0.00223560
-29.155,0.00222961
-29.146,0.00222689
-29.135,0.00223128
-29.125,0.00223588
-29.116,0.00223947
-29.106,0.00224134
-29.096,0.00223850
-29.086,0.00224001
-29.075,0.00223996
-29.066,0.00224108
-29.055,0.00223891
-29.046,0.00224028
-29.036,0.00224218
-29.026,0.00224402
-29.016,0.00224633
-29.005,0.00225271
-28.995,0.00224549
-28.985,0.00223662
-28.975,0.00224427
-28.966,0.00224591
-28.956,0.00224663
-28.946,0.00224421
-28.936,0.00224847
-28.926,0.00224527
-28.915,0.00224599
-28.906,0.00224835
-28.895,0.00224419
-28.885,0.00224429
-28.874,0.00224311
-28.866,0.00224408
-28.856,0.00224273
-28.845,0.00223659
-28.836,0.00223388
-28.826,0.00223932
-28.815,0.00224339
-28.805,0.00224358
-28.794,0.00224381
-28.778,0.00223762
-28.773,0.00223004
-28.764,0.00223180
-28.756,0.00223011
-28.745,0.00223013
-28.735,0.00223534
-28.725,0.00223281
-28.714,0.00223478
-28.706,0.00224084
-28.695,0.00224788
-28.686,0.00224741
-28.675,0.00225263
-28.665,0.00224929
-28.655,0.00224005
-28.646,0.00224481
-28.635,0.00224724
-28.625,0.00225054
-28.615,0.00224463
-28.606,0.00224168
-28.596,0.00223976
-28.586,0.00223746
-28.575,0.00223723
-28.565,0.00223733
-28.555,0.00224028
-28.545,0.00224475
-28.535,0.00224396
-28.526,0.00223775
-28.515,0.00224209
-28.505,0.00223808
-28.491,0.00223643
-28.479,0.00223441
-28.475,0.00224034
-28.465,0.00223162
-28.455,0.00223376
-28.445,0.00223778
-28.432,0.00223298
-28.422,0.00223284
-28.414,0.00223176
-28.406,0.00222908
-28.396,0.00222744
-28.385,0.00222559
-28.375,0.00222354
-28.365,0.00221886
-28.356,0.00221663
-28.345,0.00221171
-28.336,0.00220906
-28.326,0.00220971
-28.316,0.00221105
-28.306,0.00221905
-28.295,0.00221945
-28.285,0.00222012
-28.276,0.00222191
-28.266,0.00222000
-28.256,0.00221564
-28.246,0.00221879
-28.235,0.00222242
-28.225,0.00222898
-28.215,0.00222379
-28.205,0.00221804
-28.196,0.00222012
-28.186,0.00222273
-28.175,0.00222358
-28.166,0.00222398
-28.156,0.00222291
-28.146,0.00222396
-28.136,0.00222216
-28.125,0.00221954
-28.115,0.00222196
-28.104,0.00222156
-28.096,0.00222419
-28.086,0.00221765
-28.076,0.00221735
-28.066,0.00221516
-28.054,0.00221333
-28.046,0.00221034
-28.035,0.00221165
-28.026,0.00221243
-28.016,0.00220868
-28.006,0.00221218
-27.994,0.00221207
-27.986,0.00221784
-27.976,0.00221796
-27.965,0.00221675
-27.955,0.00221626
-27.945,0.00221186
-27.935,0.00220851
-27.925,0.00221020
-27.915,0.00220752
-27.906,0.00220853
-27.895,0.00220491
-27.885,0.00221118
-27.876,0.00221249
-27.865,0.00221186
-27.855,0.00221315
-27.844,0.00221295
-27.827,0.00220976
-27.817,0.00221132
-27.811,0.00220887
-27.806,0.00220801
-27.795,0.00221143
-27.785,0.00221171
-27.775,0.00220824
-27.765,0.00221262
-27.755,0.00220715
-27.745,0.00220749
-27.736,0.00220716
-27.726,0.00220678
-27.716,0.00220714
-27.706,0.00221772
-27.695,0.00221768
-27.685,0.00221970
-27.675,0.00221389
-27.664,0.00221194
-27.655,0.00221866
-27.645,0.00222060
-27.636,0.00222160
-27.625,0.00222165
-27.615,0.00222602
-27.605,0.00222541
-27.595,0.00222532
-27.583,0.00222635
-27.571,0.00222087
-27.562,0.00222317
-27.555,0.00221474
-27.546,0.00221550
-27.535,0.00222101
-27.525,0.00222681
-27.515,0.00222864
-27.506,0.00222569
-27.495,0.00222871
-27.485,0.00223285
-27.476,0.00223376
-27.465,0.00223561
-27.451,0.00224113
-27.441,0.00224008
-27.432,0.00223684
-27.424,0.00223681
-27.415,0.00224101
-27.406,0.00224114
-27.396,0.00224190
-27.386,0.00224277
-27.376,0.00223491
-27.365,0.00222823
-27.356,0.00222765
-27.345,0.00222657
-27.334,0.00222707
-27.326,0.00222508
-27.316,0.00222572
-27.306,0.00222533
-27.296,0.00223007
-27.286,0.00222280
-27.276,0.00222409
-27.265,0.00222650
-27.255,0.00223570
-27.244,0.00223886
-27.235,0.00223940
-27.225,0.00224641
-27.216,0.00224269
-27.206,0.00224875
-27.195,0.00225209
-27.186,0.00224914
-27.175,0.00224403
-27.165,0.00224208
-27.156,0.00223521
-27.144,0.00223718
-27.136,0.00223567
-27.126,0.00223458
-27.115,0.00223756
-27.105,0.00223498
-27.097,0.00223278
-27.085,0.00223062
-27.076,0.00223047
-27.066,0.00222964
-27.056,0.00222816
-27.045,0.00222783
-27.036,0.00222775
-27.025,0.00222222
-27.015,0.00222241
-27.005,0.00222066
-26.995,0.00222096
-26.986,0.00222386
-26.974,0.00222363
-26.965,0.00222354
-26.956,0.00222028
-26.946,0.00222545
-26.936,0.00222145
-26.926,0.00221897
-26.915,0.00222001
-26.905,0.00221746
-26.895,0.00221974
-26.886,0.00221706
-26.876,0.00221479
-26.866,0.00221057
-26.856,0.00221315
-26.846,0.00221732
-26.835,0.00221259
-26.825,0.00221426
-26.816,0.00222195
-26.804,0.00222118
-26.796,0.00222366
-26.786,0.00222989
-26.775,0.00223082
-26.761,0.00222824
-26.749,0.00223100
-26.744,0.00223282
-26.735,0.00222796
-26.726,0.00223774
-26.716,0.00224443
-26.704,0.00225229
-26.696,0.00225214
-26.686,0.00225031
-26.676,0.00225379
-26.661,0.00225440
-26.650,0.00225026
-26.644,0.00224990
-26.634,0.00225242
-26.626,0.00225281
-26.615,0.00225572
-26.606,0.00225706
-26.596,0.00225191
-26.586,0.00225392
-26.575,0.00225306
-26.566,0.00225036
-26.555,0.00224866
-26.546,0.00225698
-26.536,0.00225306
-26.526,0.00225342
-26.515,0.00225096
-26.506,0.00224693
-26.497,0.00224468
-26.486,0.00224329
-26.475,0.00224331
-26.466,0.00224732
-26.455,0.00224605
-26.446,0.00224363
-26.436,0.00224270
-26.425,0.00223815
-26.415,0.00224190
-26.405,0.00223863
-26.395,0.00224137
-26.386,0.00224123
-26.376,0.00224071
-26.366,0.00224027
-26.356,0.00224704
-26.346,0.00225220
-26.336,0.00224550
-26.325,0.00224179
-26.315,0.00224526
-26.305,0.00224170
-26.296,0.00223525
-26.286,0.00223636
-26.275,0.00223117
-26.266,0.00223436
-26.256,0.00223560
-26.245,0.00223175
-26.236,0.00223196
-26.225,0.00223218
-26.215,0.00223583
-26.204,0.00223712
-26.194,0.00224355
-26.186,0.00224690
-26.175,0.00224180
-26.166,0.00224142
-26.155,0.00224559
-26.145,0.00225046
-26.135,0.00224854
-26.124,0.00225158
-26.115,0.00224797
-26.105,0.00225216
-26.095,0.00225265
-26.086,0.00224701
-26.075,0.00223958
-26.065,0.00223058
-26.055,0.00223364
-26.043,0.00223859
-26.031,0.00223637
-26.018,0.00223519
-26.010,0.00222821
-26.006,0.00222629
-25.996,0.00222794
-25.985,0.00223163
-25.975,0.00222659
-25.966,0.00222992
-25.955,0.00222938
-25.946,0.00222387
-25.935,0.00222452
-25.926,0.00221892
-25.916,0.00221738
-25.906,0.00221349
-25.895,0.00221179
-25.885,0.00221209
-25.872,0.00220749
-25.859,0.00220713
-25.851,0.00220557
-25.845,0.00220669
-25.834,0.00220710
-25.826,0.00220982
-25.815,0.00221484
-25.806,0.00220970
-25.795,0.00220618
-25.785,0.00220761
-25.774,0.00220209
-25.766,0.00220399
-25.756,0.00220598
-25.746,0.00220421
-25.736,0.00220144
-25.725,0.00221027
-25.715,0.00221241
-25.705,0.00221204
-25.696,0.00221854
-25.686,0.00221999
-25.676,0.00222523
-25.666,0.00222791
-25.655,0.00222758
-25.646,0.00223089
-25.635,0.00222962
-25.625,0.00222438
-25.615,0.00222599
-25.603,0.00222849
-25.591,0.00223040
-25.582,0.00222989
-25.576,0.00223003
-25.565,0.00223795
-25.555,0.00223839
-25.545,0.00223549
-25.535,0.00223203
-25.525,0.00223383
-25.516,0.00223135
-25.506,0.00223254
-25.496,0.00223717
-25.486,0.00223030
-25.475,0.00223563
-25.466,0.00223196
-25.455,0.00223032
-25.445,0.00223057
-25.434,0.00223288
-25.426,0.00223749
-25.416,0.00223989
-25.405,0.00224417
