# T[s],wx[dps],wy[dps],wz[dps]
21.836,-0.177,0.031,16.062
21.936,-0.345,0.027,16.070
22.035,-0.320,0.140,15.895
22.137,-0.233,-0.047,15.422
22.235,-0.337,-0.026,15.941
22.336,-0.274,0.030,16.570
22.436,-0.282,0.063,17.109
22.538,-0.216,0.008,17.211
22.636,-0.330,0.139,18.492
22.735,-0.320,0.083,19.727
22.835,-0.329,0.180,20.977
22.938,-0.379,0.142,22.078
23.036,-0.264,0.089,23.172
23.136,-0.293,0.128,24.266
23.235,-0.263,0.164,25.359
23.335,-0.297,0.146,26.453
23.436,-0.202,-0.030,27.539
23.535,-0.218,0.063,28.602
23.635,-0.320,-0.160,29.461
23.736,-0.128,-0.099,30.547
23.835,-0.178,-0.154,31.438
23.935,-0.169,-0.288,32.375
24.035,-0.186,-0.235,33.406
24.137,-0.199,-0.365,34.375
24.236,-0.191,-0.302,35.297
24.436,-0.261,-0.431,37.203
24.535,-0.264,-0.292,38.172
24.635,-0.252,-0.567,39.078
24.735,-0.236,-0.372,39.875
24.835,-0.287,-0.538,40.656
24.936,-0.123,-0.245,41.188
25.036,-0.336,-0.699,41.812
25.135,-0.131,-0.368,42.328
25.235,-0.286,-0.467,43.031
25.335,-0.217,-0.449,43.484
25.435,-0.071,-0.480,43.953
25.536,-0.052,-0.477,44.531
25.636,-0.111,-0.471,44.938
25.737,0.138,-0.437,45.188
25.835,-0.017,-0.542,45.328
25.935,0.132,-0.439,45.422
26.036,0.217,-0.572,45.797
26.136,0.206,-0.427,46.031
26.236,0.220,-0.501,46.359
26.335,0.365,-0.326,46.500
26.435,0.318,-0.615,46.734
26.536,0.518,-0.427,46.750
26.637,0.492,-0.442,46.938
26.736,0.469,-0.464,47.141
26.836,0.616,-0.363,47.219
26.937,0.563,-0.357,47.312
27.035,0.618,-0.397,47.328
27.136,0.572,-0.147,47.328
27.235,0.658,-0.383,47.312
27.336,0.577,-0.266,47.141
27.436,0.586,-0.245,46.953
27.536,0.519,-0.280,47.062
27.635,0.574,-0.176,47.547
27.737,0.495,-0.099,47.500
