# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-31.532,0,0,0,0,0
-31.518,0,0,0,0,0
-31.511,0,0,0,0,0
-31.503,0,0,0,0,0
-31.493,0,0,0,0,0
-31.484,0,0,0,0,0
-31.474,0,0,0,0,0
-31.463,0,0,0,0,0
-31.453,0,0,0,0,0
-31.444,0,0,0,0,0
-31.433,0,0,0,0,0
-31.423,0,0,0,0,0
-31.414,0,0,0,0,0
-31.403,0,0,0,0,0
-31.394,0,0,0,0,0
-31.382,0,0,0,0,0
-31.374,0,0,0,0,0
-31.362,0,0,0,0,0
-31.353,0,0,0,0,0
-31.343,0,0,0,0,0
-31.334,0,0,0,0,0
-31.324,0,0,0,0,0
-31.314,0,0,0,0,0
-31.304,0,0,0,0,0
-31.294,0,0,0,0,0
-31.284,0,0,0,0,0
-31.274,0,0,0,0,0
-31.263,0,0,0,0,0
-31.253,0,0,0,0,0
-31.243,0,0,0,0,0
-31.234,0,0,0,0,0
-31.224,0,0,0,0,0
-31.214,0,0,0,0,0
-31.203,0,0,0,0,0
-31.193,0,0,0,0,0
-31.183,0,0,0,0,0
-31.173,0,0,0,0,0
-31.162,0,0,0,0,0
-31.153,0,0,0,0,0
-31.144,0,0,0,0,0
-31.134,0,0,0,0,0
-31.124,0,0,0,0,0
-31.114,0,0,0,0,0
-31.103,0,0,0,0,0
-31.093,0,0,0,0,0
-31.083,0,0,0,0,0
-31.074,0,0,0,0,0
-31.064,0,0,0,0,0
-31.054,0,0,0,0,0
-31.044,0,0,0,0,0
-31.033,0,0,0,0,0
-31.024,0,0,0,0,0
-31.013,0,0,0,0,0
-31.003,0,0,0,0,0
-30.994,0,0,0,0,0
-30.984,0,0,0,0,0
-30.974,0,0,0,0,0
-30.963,0,0,0,0,0
-30.954,0,0,0,0,0
-30.944,0,0,0,0,0
-30.934,0,0,0,0,0
-30.923,0,0,0,0,0
-30.913,0,0,0,0,0
-30.902,0,0,0,0,0
-30.893,0,0,0,0,0
-30.882,0,0,0,0,0
-30.874,0,0,0,0,0
-30.863,0,0,0,0,0
-30.854,0,0,0,0,0
-30.843,0,0,0,0,0
-30.833,0,0,0,0,0
-30.823,0,0,0,0,0
-30.812,0,0,0,0,0
-30.803,0,0,0,0,0
-30.792,0,0,0,0,0
-30.782,0,0,0,0,0
-30.774,0,0,0,0,0
-30.764,0,0,0,0,0
-30.754,0,0,0,0,0
-30.743,0,0,0,0,0
-30.733,0,0,0,0,0
-30.724,0,0,0,0,0
-30.714,0,0,0,0,0
-30.702,0,0,0,0,0
-30.692,0,0,0,0,0
-30.683,0,0,0,0,0
-30.673,0,0,0,0,0
-30.663,0,0,0,0,0
-30.654,0,0,0,0,0
-30.643,0,0,0,0,0
-30.632,0,0,0,0,0
-30.624,0,0,0,0,0
-30.614,0,0,0,0,0
-30.604,0,0,0,0,0
-30.594,0,0,0,0,0
-30.583,0,0,0,0,0
-30.573,0,0,0,0,0
-30.563,0,0,0,0,0
-30.554,0,0,0,0,0
-30.540,0,0,0,0,0
-30.530,0,0,0,0,0
-30.517,0,0,0,0,0
-30.511,0,0,0,0,0
-30.502,0,0,0,0,0
-30.493,0,0,0,0,0
-30.483,0,0,0,0,0
-30.473,0,0,0,0,0
-30.462,0,0,0,0,0
-30.454,0,0,0,0,0
-30.443,0,0,0,0,0
-30.434,0,0,0,0,0
-30.422,0,0,0,0,0
-30.414,0,0,0,0,0
-30.403,0,0,0,0,0
-30.393,0,0,0,0,0
-30.383,0,0,0,0,0
-30.372,0,0,0,0,0
-30.364,0,0,0,0,0
-30.353,0,0,0,0,0
-30.344,0,0,0,0,0
-30.333,0,0,0,0,0
-30.324,0,0,0,0,0
-30.313,0,0,0,0,0
-30.303,0,0,0,0,0
-30.294,0,0,0,0,0
