# T[s],ax[g],ay[g],az[g]
6.241,0.028,0.054,0.164
6.336,0.009,0.088,0.374
6.440,0.088,0.065,0.425
6.535,0.046,0.077,0.322
6.635,0.054,0.132,0.418
6.739,0.095,0.036,0.261
6.837,0.026,0.101,0.280
6.936,0.107,0.066,0.347
7.037,0.013,0.117,0.237
7.136,0.084,0.075,0.224
7.235,0.084,0.060,0.193
7.337,0.069,0.086,0.407
7.436,0.046,0.056,0.266
7.537,0.027,0.040,0.286
7.636,0.040,0.102,0.298
7.736,0.092,0.108,0.443
7.837,0.117,0.093,0.321
7.937,0.037,0.122,0.369
8.036,0.035,0.058,0.323
8.136,-0.049,0.091,0.207
8.241,0.051,0.039,0.261
8.336,0.076,0.081,0.374
8.436,0.007,0.054,0.354
8.537,0.035,0.097,0.395
8.637,0.050,0.125,0.292
8.737,0.034,0.097,0.549
8.836,0.021,0.108,0.282
8.936,-0.000,0.089,0.332
9.037,0.068,0.049,0.564
9.137,0.073,0.077,0.396
9.236,0.055,0.098,0.399
9.336,0.024,0.078,0.376
9.436,0.037,0.113,0.315
9.536,0.012,0.052,0.345
9.635,0.062,0.079,0.333
9.736,0.060,0.080,0.519
9.836,0.008,0.034,0.405
9.936,0.059,0.114,0.447
10.036,0.095,0.119,0.447
10.137,0.013,0.083,0.395
10.236,0.014,0.059,0.375
10.337,0.019,0.074,0.348
10.436,0.038,0.049,0.407
10.537,0.031,0.065,0.385
10.637,0.024,0.097,0.344
10.737,0.058,0.112,0.361
10.837,0.073,0.040,0.579
10.935,0.002,0.073,0.286
11.038,0.052,0.050,0.541
11.140,0.062,0.087,0.317
11.236,0.037,0.066,0.434
11.343,0.033,0.127,0.445
11.436,0.076,0.084,0.377
11.535,0.011,0.067,0.377
11.637,0.044,0.104,0.536
11.736,0.056,0.081,0.287
11.836,0.035,0.076,0.437
11.936,0.035,0.082,0.364
12.040,0.039,0.104,0.483
12.135,0.024,0.121,0.310
12.237,0.047,0.072,0.424
12.336,0.070,0.098,0.500
12.436,0.030,0.083,0.400
12.536,0.075,0.066,0.500
12.637,0.051,0.073,0.280
12.735,0.014,0.060,0.437
12.836,0.040,0.089,0.349
12.936,0.059,0.051,0.409
13.037,0.046,0.076,0.314
13.136,0.053,0.112,0.608
13.237,0.027,0.104,0.101
13.335,0.023,0.080,0.274
13.437,0.057,0.134,0.420
13.537,0.020,0.110,0.383
13.636,0.078,0.077,0.385
13.736,-0.020,0.077,0.234
13.836,-0.016,0.104,0.175
13.936,0.006,0.117,0.379
14.035,0.109,0.066,0.306
14.143,0.069,0.055,0.260
14.236,0.148,0.113,0.434
14.336,0.024,0.106,0.381
14.436,-0.039,0.061,0.121
14.536,0.056,0.112,0.364
14.637,0.013,0.086,0.170
14.736,0.052,0.147,0.322
14.837,0.042,0.118,0.298
14.938,0.064,0.103,0.276
15.036,0.074,0.125,0.429
15.137,0.124,0.082,0.306
15.242,0.040,0.099,0.346
15.337,0.038,0.096,0.297
15.436,0.066,0.068,0.393
15.536,0.062,0.093,0.329
15.636,0.029,0.089,0.286
15.736,0.014,0.094,0.199
15.837,0.051,0.063,0.395
15.937,0.097,0.116,0.375
16.036,0.104,0.100,0.439
16.136,0.026,0.133,0.214
16.238,0.067,0.081,0.356
16.337,0.076,0.086,0.318
16.437,0.010,0.068,0.202
16.535,0.097,0.140,0.617
16.642,0.112,0.120,0.370
16.736,0.086,0.124,0.398
16.836,0.067,0.094,0.319
16.941,0.052,0.051,0.369
17.041,0.066,0.093,0.359
17.137,0.062,0.008,0.148
17.237,0.046,0.041,0.185
17.336,0.045,0.099,0.510
17.436,0.055,0.078,0.282
17.538,-0.002,0.031,0.203
17.640,0.038,0.045,0.346
17.737,0.047,0.082,0.248
17.837,0.117,0.086,0.479
17.936,0.058,0.051,0.461
18.036,-0.024,0.088,0.307
18.137,-0.011,0.109,0.294
18.237,-0.020,0.082,0.336
18.337,0.017,0.091,0.355
18.437,0.066,0.100,0.380
18.536,0.025,0.073,0.573
18.636,0.062,0.081,0.173
18.736,0.046,0.004,0.384
18.836,0.002,0.100,0.349
18.936,0.038,0.028,0.313
19.037,0.079,0.113,0.460
19.136,0.006,0.038,0.411
19.236,0.056,0.022,0.278
19.337,0.041,0.088,0.538
19.436,0.030,0.078,0.332
19.539,0.060,0.109,0.654
19.641,-0.026,0.046,0.333
19.736,0.059,0.023,0.519
19.838,0.016,0.099,0.531
19.936,0.091,0.150,0.485
20.037,0.039,0.032,0.218
20.136,0.041,0.125,0.338
20.241,0.051,0.130,0.375
20.336,0.046,0.045,0.332
20.436,0.080,0.127,0.359
20.537,0.007,0.087,0.289
20.639,0.045,0.039,0.229
20.740,0.041,0.076,0.376
20.837,-0.042,0.112,0.170
20.936,0.052,0.106,0.290
21.036,0.031,0.104,0.386
21.136,0.045,0.112,0.139
21.237,0.106,0.086,0.264
21.337,0.015,0.108,0.339
21.436,0.063,0.119,0.353
21.537,0.110,0.024,0.245
21.636,0.126,0.108,0.308
21.736,0.032,0.087,0.283
21.836,0.004,0.088,0.480
21.936,0.059,0.060,0.268
22.037,0.026,0.046,0.260
22.137,0.067,0.070,0.362
22.236,0.095,0.109,0.287
22.336,0.028,0.120,0.367
22.436,0.019,0.150,0.479
22.539,0.060,0.186,0.524
22.637,0.055,0.137,0.382
22.735,0.091,0.111,0.408
22.837,-0.022,0.062,0.169
22.939,0.036,0.095,0.325
23.037,0.091,0.048,0.160
23.136,0.103,0.110,0.333
23.236,0.097,0.153,0.409
23.337,0.015,0.092,0.403
23.436,0.048,0.158,0.381
23.536,0.091,0.079,0.194
23.636,0.053,0.117,0.278
23.736,0.068,0.182,0.610
23.836,0.045,0.133,0.357
23.937,0.085,0.159,0.369
24.037,0.089,0.126,0.292
24.137,0.092,0.115,0.253
24.237,0.137,0.153,0.256
24.336,0.086,0.215,0.290
24.436,0.045,0.130,0.289
24.535,0.015,0.104,0.330
